PRT_ID,AREA,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE
P03210,Karapakkam,AbNormal,Yes,Commercial,AllPub,Paved,A
P09411,Anna Nagar,Family,No,Others,ELO,Gravel,RH
P01812,Adyar,Partial,Noo,Other,NoSewr ,No Access,RL
P05346,Velachery,AdjLand,,House,NoSeWa,Pavd,I
P06210,Chrompet,Normal Sale,,Comercial,All Pub,NoAccess,C
P00219,KK Nagar,Ab Normal,,,,,RM
P09105,TNagar,Partiall,,,,,
P09679,T Nagar,Adj Land,,,,,
P03377,Chrompt,PartiaLl,,,,,
P09623,Chrmpet,,,,,,
P09540,Karapakam,,,,,,
P07121,Ana Nagar,,,,,,
P05512,Chormpet,,,,,,
P09370,Adyr,,,,,,
P04085,Velchery,,,,,,
P06328,Ann Nagar,,,,,,
P06039,KKNagar,,,,,,
P02016,,,,,,,
P08160,,,,,,,
P01372,,,,,,,
P00936,,,,,,,
P07346,,,,,,,
P06851,,,,,,,
P04665,,,,,,,
P00902,,,,,,,
P00293,,,,,,,
P02235,,,,,,,
P04080,,,,,,,
P02677,,,,,,,
P00755,,,,,,,
P06980,,,,,,,
P02696,,,,,,,
P01517,,,,,,,
P09650,,,,,,,
P05950,,,,,,,
P05051,,,,,,,
P04978,,,,,,,
P03704,,,,,,,
P02247,,,,,,,
P07194,,,,,,,
P01107,,,,,,,
P02442,,,,,,,
P06444,,,,,,,
P05298,,,,,,,
P05882,,,,,,,
P02558,,,,,,,
P09483,,,,,,,
P06006,,,,,,,
P04106,,,,,,,
P09556,,,,,,,
P00389,,,,,,,
P05245,,,,,,,
P01690,,,,,,,
P07753,,,,,,,
P08611,,,,,,,
P01934,,,,,,,
P06326,,,,,,,
P00865,,,,,,,
P02088,,,,,,,
P07770,,,,,,,
P08118,,,,,,,
P03221,,,,,,,
P03273,,,,,,,
P08667,,,,,,,
P03791,,,,,,,
P01247,,,,,,,
P02391,,,,,,,
P07825,,,,,,,
P05787,,,,,,,
P02285,,,,,,,
P05304,,,,,,,
P05309,,,,,,,
P09664,,,,,,,
P02813,,,,,,,
P08933,,,,,,,
P03590,,,,,,,
P01725,,,,,,,
P06570,,,,,,,
P02686,,,,,,,
P07789,,,,,,,
P08836,,,,,,,
P02716,,,,,,,
P09780,,,,,,,
P06528,,,,,,,
P06989,,,,,,,
P07824,,,,,,,
P00545,,,,,,,
P06461,,,,,,,
P07650,,,,,,,
P07887,,,,,,,
P08050,,,,,,,
P04677,,,,,,,
P03124,,,,,,,
P08147,,,,,,,
P06097,,,,,,,
P00959,,,,,,,
P00057,,,,,,,
P08607,,,,,,,
P01632,,,,,,,
P00937,,,,,,,
P09868,,,,,,,
P08848,,,,,,,
P07681,,,,,,,
P00407,,,,,,,
P06126,,,,,,,
P09763,,,,,,,
P02652,,,,,,,
P06329,,,,,,,
P01701,,,,,,,
P09722,,,,,,,
P04743,,,,,,,
P06768,,,,,,,
P06746,,,,,,,
P00934,,,,,,,
P00899,,,,,,,
P00566,,,,,,,
P07878,,,,,,,
P05305,,,,,,,
P02252,,,,,,,
P03571,,,,,,,
P00942,,,,,,,
P08304,,,,,,,
P07597,,,,,,,
P06565,,,,,,,
P06398,,,,,,,
P09293,,,,,,,
P09021,,,,,,,
P04325,,,,,,,
P05031,,,,,,,
P08918,,,,,,,
P05947,,,,,,,
P05350,,,,,,,
P07092,,,,,,,
P08337,,,,,,,
P00089,,,,,,,
P00403,,,,,,,
P00717,,,,,,,
P06064,,,,,,,
P08625,,,,,,,
P02917,,,,,,,
P06881,,,,,,,
P05823,,,,,,,
P01492,,,,,,,
P06226,,,,,,,
P07481,,,,,,,
P05518,,,,,,,
P06801,,,,,,,
P07373,,,,,,,
P04399,,,,,,,
P07490,,,,,,,
P05417,,,,,,,
P09702,,,,,,,
P05869,,,,,,,
P00534,,,,,,,
P07334,,,,,,,
P08511,,,,,,,
P04112,,,,,,,
P02262,,,,,,,
P03305,,,,,,,
P05447,,,,,,,
P02126,,,,,,,
P06964,,,,,,,
P08195,,,,,,,
P04311,,,,,,,
P08974,,,,,,,
P04824,,,,,,,
P09337,,,,,,,
P08903,,,,,,,
P08975,,,,,,,
P03906,,,,,,,
P08737,,,,,,,
P00163,,,,,,,
P07499,,,,,,,
P01939,,,,,,,
P03550,,,,,,,
P00920,,,,,,,
P01500,,,,,,,
P00340,,,,,,,
P02832,,,,,,,
P04417,,,,,,,
P05246,,,,,,,
P02863,,,,,,,
P03006,,,,,,,
P08264,,,,,,,
P04420,,,,,,,
P04928,,,,,,,
P08752,,,,,,,
P03833,,,,,,,
P06156,,,,,,,
P01763,,,,,,,
P02399,,,,,,,
P03260,,,,,,,
P08138,,,,,,,
P07941,,,,,,,
P08181,,,,,,,
P07510,,,,,,,
P07420,,,,,,,
P04010,,,,,,,
P06446,,,,,,,
P06517,,,,,,,
P06871,,,,,,,
P07432,,,,,,,
P03326,,,,,,,
P01979,,,,,,,
P07185,,,,,,,
P03108,,,,,,,
P05849,,,,,,,
P04250,,,,,,,
P03292,,,,,,,
P08027,,,,,,,
P03347,,,,,,,
P05714,,,,,,,
P04299,,,,,,,
P07890,,,,,,,
P08044,,,,,,,
P07866,,,,,,,
P03262,,,,,,,
P09528,,,,,,,
P06089,,,,,,,
P05826,,,,,,,
P02984,,,,,,,
P05451,,,,,,,
P03403,,,,,,,
P08753,,,,,,,
P08480,,,,,,,
P03822,,,,,,,
P09994,,,,,,,
P06686,,,,,,,
P09839,,,,,,,
P07907,,,,,,,
P01575,,,,,,,
P05854,,,,,,,
P05279,,,,,,,
P08056,,,,,,,
P05180,,,,,,,
P06772,,,,,,,
P05622,,,,,,,
P03766,,,,,,,
P05493,,,,,,,
P05498,,,,,,,
P03329,,,,,,,
P02091,,,,,,,
P01651,,,,,,,
P07585,,,,,,,
P09195,,,,,,,
P00166,,,,,,,
P00927,,,,,,,
P01999,,,,,,,
P04891,,,,,,,
P03800,,,,,,,
P07958,,,,,,,
P09676,,,,,,,
P01737,,,,,,,
P07362,,,,,,,
P09402,,,,,,,
P06908,,,,,,,
P01178,,,,,,,
P05817,,,,,,,
P00699,,,,,,,
P04841,,,,,,,
P01647,,,,,,,
P04590,,,,,,,
P03908,,,,,,,
P08794,,,,,,,
P02451,,,,,,,
P04850,,,,,,,
P05660,,,,,,,
P09187,,,,,,,
P02390,,,,,,,
P03404,,,,,,,
P09067,,,,,,,
P00330,,,,,,,
P09285,,,,,,,
P05669,,,,,,,
P07880,,,,,,,
P09906,,,,,,,
P00487,,,,,,,
P08117,,,,,,,
P04991,,,,,,,
P00214,,,,,,,
P06313,,,,,,,
P03528,,,,,,,
P03457,,,,,,,
P04638,,,,,,,
P03587,,,,,,,
P09583,,,,,,,
P06391,,,,,,,
P02470,,,,,,,
P09557,,,,,,,
P06262,,,,,,,
P05477,,,,,,,
P02309,,,,,,,
P01548,,,,,,,
P04821,,,,,,,
P02713,,,,,,,
P08465,,,,,,,
P02310,,,,,,,
P09665,,,,,,,
P06287,,,,,,,
P06698,,,,,,,
P07369,,,,,,,
P02245,,,,,,,
P06933,,,,,,,
P01002,,,,,,,
P07261,,,,,,,
P05720,,,,,,,
P08626,,,,,,,
P09661,,,,,,,
P06041,,,,,,,
P03794,,,,,,,
P04018,,,,,,,
P04698,,,,,,,
P02964,,,,,,,
P08876,,,,,,,
P05953,,,,,,,
P07062,,,,,,,
P09683,,,,,,,
P06128,,,,,,,
P02257,,,,,,,
P06193,,,,,,,
P08685,,,,,,,
P05642,,,,,,,
P02602,,,,,,,
P00726,,,,,,,
P06914,,,,,,,
P07558,,,,,,,
P03775,,,,,,,
P05465,,,,,,,
P03635,,,,,,,
P01156,,,,,,,
P02905,,,,,,,
P06729,,,,,,,
P05579,,,,,,,
P00343,,,,,,,
P00100,,,,,,,
P02620,,,,,,,
P04790,,,,,,,
P00721,,,,,,,
P03999,,,,,,,
P06556,,,,,,,
P07169,,,,,,,
P00040,,,,,,,
P07638,,,,,,,
P01919,,,,,,,
P06857,,,,,,,
P04167,,,,,,,
P01855,,,,,,,
P01305,,,,,,,
P03199,,,,,,,
P04142,,,,,,,
P01778,,,,,,,
P04954,,,,,,,
P08796,,,,,,,
P08827,,,,,,,
P09007,,,,,,,
P03358,,,,,,,
P06132,,,,,,,
P00079,,,,,,,
P05873,,,,,,,
P05499,,,,,,,
P03121,,,,,,,
P01557,,,,,,,
P04745,,,,,,,
P04769,,,,,,,
P08883,,,,,,,
P08909,,,,,,,
P03773,,,,,,,
P02174,,,,,,,
P01552,,,,,,,
P05290,,,,,,,
P01161,,,,,,,
P04884,,,,,,,
P08858,,,,,,,
P00922,,,,,,,
P02543,,,,,,,
P07228,,,,,,,
P09140,,,,,,,
P07212,,,,,,,
P04493,,,,,,,
P09681,,,,,,,
P09981,,,,,,,
P09634,,,,,,,
P01323,,,,,,,
P05737,,,,,,,
P09872,,,,,,,
P00812,,,,,,,
P09951,,,,,,,
P05443,,,,,,,
P03302,,,,,,,
P05464,,,,,,,
P09248,,,,,,,
P03610,,,,,,,
P00156,,,,,,,
P06581,,,,,,,
P02416,,,,,,,
P03339,,,,,,,
P05654,,,,,,,
P08754,,,,,,,
P08597,,,,,,,
P05620,,,,,,,
P07050,,,,,,,
P05989,,,,,,,
P04597,,,,,,,
P03995,,,,,,,
P08602,,,,,,,
P00994,,,,,,,
P00836,,,,,,,
P01216,,,,,,,
P02109,,,,,,,
P04269,,,,,,,
P01760,,,,,,,
P05320,,,,,,,
P00204,,,,,,,
P00708,,,,,,,
P07487,,,,,,,
P02875,,,,,,,
P01629,,,,,,,
P08316,,,,,,,
P05371,,,,,,,
P07138,,,,,,,
P00109,,,,,,,
P00074,,,,,,,
P02551,,,,,,,
P03196,,,,,,,
P05960,,,,,,,
P03736,,,,,,,
P03926,,,,,,,
P07522,,,,,,,
P09322,,,,,,,
P01879,,,,,,,
P02997,,,,,,,
P00411,,,,,,,
P00877,,,,,,,
P01695,,,,,,,
P08455,,,,,,,
P03007,,,,,,,
P05710,,,,,,,
P04897,,,,,,,
P00832,,,,,,,
P04157,,,,,,,
P02711,,,,,,,
P02041,,,,,,,
P09366,,,,,,,
P06360,,,,,,,
P07659,,,,,,,
P01053,,,,,,,
P06533,,,,,,,
P07925,,,,,,,
P05243,,,,,,,
P00237,,,,,,,
P07457,,,,,,,
P07364,,,,,,,
P06464,,,,,,,
P08214,,,,,,,
P04294,,,,,,,
P07170,,,,,,,
P09462,,,,,,,
P02331,,,,,,,
P01949,,,,,,,
P02950,,,,,,,
P04887,,,,,,,
P05367,,,,,,,
P02759,,,,,,,
P09566,,,,,,,
P09368,,,,,,,
P00892,,,,,,,
P04171,,,,,,,
P00352,,,,,,,
P03485,,,,,,,
P03534,,,,,,,
P06311,,,,,,,
P03693,,,,,,,
P01155,,,,,,,
P04291,,,,,,,
P08373,,,,,,,
P07266,,,,,,,
P06656,,,,,,,
P08115,,,,,,,
P00134,,,,,,,
P04286,,,,,,,
P05418,,,,,,,
P06712,,,,,,,
P06808,,,,,,,
P05608,,,,,,,
P00150,,,,,,,
P02313,,,,,,,
P05251,,,,,,,
P04410,,,,,,,
P08205,,,,,,,
P00014,,,,,,,
P01888,,,,,,,
P04716,,,,,,,
P04134,,,,,,,
P05992,,,,,,,
P09059,,,,,,,
P07222,,,,,,,
P01624,,,,,,,
P03449,,,,,,,
P06449,,,,,,,
P06975,,,,,,,
P01875,,,,,,,
P01033,,,,,,,
P07623,,,,,,,
P00630,,,,,,,
P03626,,,,,,,
P00626,,,,,,,
P09760,,,,,,,
P05390,,,,,,,
P07904,,,,,,,
P06254,,,,,,,
P04768,,,,,,,
P07447,,,,,,,
P00391,,,,,,,
P08647,,,,,,,
P08442,,,,,,,
P06293,,,,,,,
P07662,,,,,,,
P08417,,,,,,,
P02330,,,,,,,
P00493,,,,,,,
P07325,,,,,,,
P08211,,,,,,,
P05729,,,,,,,
P00001,,,,,,,
P08254,,,,,,,
P02188,,,,,,,
P06445,,,,,,,
P07020,,,,,,,
P03543,,,,,,,
P02570,,,,,,,
P08984,,,,,,,
P09158,,,,,,,
P09545,,,,,,,
P09767,,,,,,,
P02771,,,,,,,
P09038,,,,,,,
P04549,,,,,,,
P09933,,,,,,,
P09539,,,,,,,
P02904,,,,,,,
P02838,,,,,,,
P07586,,,,,,,
P04938,,,,,,,
P05156,,,,,,,
P01880,,,,,,,
P01210,,,,,,,
P05691,,,,,,,
P01657,,,,,,,
P03549,,,,,,,
P03357,,,,,,,
P06358,,,,,,,
P05504,,,,,,,
P02099,,,,,,,
P03917,,,,,,,
P05611,,,,,,,
P08863,,,,,,,
P05940,,,,,,,
P09642,,,,,,,
P05699,,,,,,,
P00015,,,,,,,
P02363,,,,,,,
P00880,,,,,,,
P01942,,,,,,,
P01143,,,,,,,
P07562,,,,,,,
P00315,,,,,,,
P08575,,,,,,,
P01534,,,,,,,
P09559,,,,,,,
P00256,,,,,,,
P09902,,,,,,,
P00770,,,,,,,
P08419,,,,,,,
P04455,,,,,,,
P08079,,,,,,,
P07241,,,,,,,
P05450,,,,,,,
P02659,,,,,,,
P08816,,,,,,,
P06608,,,,,,,
P04833,,,,,,,
P07856,,,,,,,
P03958,,,,,,,
P05929,,,,,,,
P01541,,,,,,,
P01328,,,,,,,
P01545,,,,,,,
P06395,,,,,,,
P04641,,,,,,,
P06962,,,,,,,
P09793,,,,,,,
P01314,,,,,,,
P05936,,,,,,,
P08773,,,,,,,
P07067,,,,,,,
P08315,,,,,,,
P05932,,,,,,,
P07317,,,,,,,
P04200,,,,,,,
P01785,,,,,,,
P01903,,,,,,,
P08726,,,,,,,
P06346,,,,,,,
P08377,,,,,,,
P06815,,,,,,,
P04923,,,,,,,
P08660,,,,,,,
P04936,,,,,,,
P07066,,,,,,,
P04353,,,,,,,
P04720,,,,,,,
P03546,,,,,,,
P05835,,,,,,,
P02411,,,,,,,
P07424,,,,,,,
P04303,,,,,,,
P06944,,,,,,,
P07711,,,,,,,
P00562,,,,,,,
P05735,,,,,,,
P08860,,,,,,,
P04831,,,,,,,
P02609,,,,,,,
P01802,,,,,,,
P02141,,,,,,,
P02698,,,,,,,
P07414,,,,,,,
P02608,,,,,,,
P01275,,,,,,,
P02785,,,,,,,
P06432,,,,,,,
P03369,,,,,,,
P03168,,,,,,,
P01905,,,,,,,
P07293,,,,,,,
P01863,,,,,,,
P09357,,,,,,,
P02249,,,,,,,
P03739,,,,,,,
P03394,,,,,,,
P08504,,,,,,,
P02179,,,,,,,
P08968,,,,,,,
P07773,,,,,,,
P05110,,,,,,,
P05416,,,,,,,
P09675,,,,,,,
P07801,,,,,,,
P03012,,,,,,,
P07506,,,,,,,
P06959,,,,,,,
P05958,,,,,,,
P08576,,,,,,,
P05297,,,,,,,
P00413,,,,,,,
P03152,,,,,,,
P03875,,,,,,,
P02073,,,,,,,
P03841,,,,,,,
P05313,,,,,,,
P00829,,,,,,,
P00522,,,,,,,
P00028,,,,,,,
P06794,,,,,,,
P06880,,,,,,,
P00056,,,,,,,
P05306,,,,,,,
P01449,,,,,,,
P05471,,,,,,,
P09164,,,,,,,
P09257,,,,,,,
P02895,,,,,,,
P09023,,,,,,,
P03061,,,,,,,
P05094,,,,,,,
P07578,,,,,,,
P05083,,,,,,,
P00464,,,,,,,
P00960,,,,,,,
P07548,,,,,,,
P09475,,,,,,,
P06415,,,,,,,
P01520,,,,,,,
P01920,,,,,,,
P09305,,,,,,,
P04384,,,,,,,
P02334,,,,,,,
P05328,,,,,,,
P05629,,,,,,,
P08670,,,,,,,
P01231,,,,,,,
P03415,,,,,,,
P02952,,,,,,,
P05082,,,,,,,
P07620,,,,,,,
P01327,,,,,,,
P06733,,,,,,,
P01027,,,,,,,
P01321,,,,,,,
P02892,,,,,,,
P06165,,,,,,,
P05598,,,,,,,
P06068,,,,,,,
P02809,,,,,,,
P04941,,,,,,,
P07995,,,,,,,
P09026,,,,,,,
P03111,,,,,,,
P02499,,,,,,,
P01358,,,,,,,
P09585,,,,,,,
P05096,,,,,,,
P07781,,,,,,,
P04122,,,,,,,
P03730,,,,,,,
P04502,,,,,,,
P05510,,,,,,,
P01826,,,,,,,
P03376,,,,,,,
P08277,,,,,,,
P01381,,,,,,,
P05314,,,,,,,
P07460,,,,,,,
P07933,,,,,,,
P09524,,,,,,,
P09212,,,,,,,
P01502,,,,,,,
P02484,,,,,,,
P10024,,,,,,,
P03732,,,,,,,
P04087,,,,,,,
P04706,,,,,,,
P07661,,,,,,,
P01793,,,,,,,
P06943,,,,,,,
P05095,,,,,,,
P06316,,,,,,,
P06757,,,,,,,
P08788,,,,,,,
P02951,,,,,,,
P04762,,,,,,,
P03931,,,,,,,
P04482,,,,,,,
P04140,,,,,,,
P09344,,,,,,,
P09238,,,,,,,
P01782,,,,,,,
P06169,,,,,,,
P06223,,,,,,,
P05353,,,,,,,
