AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,SALE_YEAR,SALE_MONTH,BUILD_YEAR,BUILD_AGE
4,1004.0,131.0,1.0,1.0,3.0,1,0,4.0,3.9,4.9,4.33,380000.0,144400.0,7600000.0,2011,5,1967,44
1,1986.0,26.0,2.0,1.0,5.0,0,0,4.9,4.2,2.5,3.765,760122.0,304049.0,21717770.0,2006,12,1995,11
0,909.0,70.0,1.0,1.0,3.0,1,0,4.1,3.8,2.2,3.09,421094.0,92114.0,13159200.0,2012,2,1992,20
7,1855.0,14.0,3.0,2.0,5.0,0,2,4.7,3.9,3.6,4.01,356321.0,77042.0,9630290.0,2010,3,1988,22
4,1226.0,84.0,1.0,1.0,3.0,1,2,3.0,2.5,4.1,3.29,237000.0,74063.0,7406250.0,2009,10,1979,30
2,1220.0,36.0,2.0,1.0,4.0,0,0,4.5,2.6,3.1,3.32,409027.0,198316.0,12394750.0,2014,9,2009,5
2,1167.0,137.0,1.0,1.0,3.0,0,2,3.6,2.1,2.5,2.67,263152.0,33955.0,8488790.0,2007,4,1979,28
7,1847.0,176.0,3.0,2.0,5.0,0,0,2.4,4.5,2.1,3.26,604809.0,235204.0,16800250.0,2006,3,1996,10
2,771.0,175.0,1.0,1.0,2.0,0,2,2.9,3.7,4.0,3.55,257578.0,33236.0,8308970.0,2011,4,1977,34
7,1635.0,74.0,2.0,1.0,4.0,0,2,3.1,3.1,3.3,3.16,323346.0,121255.0,8083650.0,2006,6,1991,15
2,1203.0,78.0,2.0,1.0,4.0,1,0,4.0,3.2,4.5,3.83,403326.0,119504.0,14938000.0,2006,10,1978,28
2,1054.0,143.0,1.0,1.0,3.0,0,2,2.2,3.1,3.3,2.89,245693.0,141746.0,9449730.0,2009,2,1972,37
2,1196.0,137.0,1.0,1.0,3.0,0,2,2.1,2.5,2.1,2.26,289554.0,35097.0,8774370.0,2010,2,1991,19
0,1056.0,83.0,1.0,1.0,3.0,1,2,2.2,3.4,3.7,3.19,319141.0,37546.0,9386490.0,2007,1,1981,26
7,1865.0,157.0,3.0,2.0,5.0,0,0,4.8,2.2,4.9,3.66,619987.0,294494.0,15499680.0,2010,11,1956,54
7,1868.0,148.0,3.0,2.0,5.0,0,0,3.8,3.8,3.1,3.5032537884152384,597135.0,188569.0,15714080.0,2009,9,2000,9
4,1639.0,175.0,2.0,2.0,4.0,1,1,2.3,3.2,4.8,3.57,285648.0,77904.0,8656000.0,2009,11,1991,18
2,796.0,134.0,1.0,1.0,2.0,1,0,3.5,4.6,4.7,4.3,316464.0,130951.0,10912550.0,2011,12,1975,36
0,1136.0,69.0,1.0,1.0,3.0,1,2,4.6,2.6,2.9,3.35,323214.0,49725.0,8287550.0,2008,4,1978,30
1,1902.0,168.0,2.0,1.0,5.0,1,0,4.5,4.9,4.9,4.76,742113.0,212032.0,21203240.0,2012,7,1970,42
2,1069.0,53.0,1.0,1.0,3.0,1,2,2.8,2.7,4.9,3.39,283544.0,43622.0,10905530.0,2013,4,2009,4
2,931.0,96.0,1.0,1.0,3.0,1,2,4.2,3.1,3.1,3.43,248021.0,27558.0,9185970.0,2008,12,1986,22
3,2010.0,114.0,3.0,2.0,5.0,0,2,3.4,4.5,3.4,3.73,327762.0,262210.0,10925400.0,2009,5,1999,10
2,1074.0,100.0,1.0,1.0,3.0,0,2,3.0,3.4,4.9,3.73,288821.0,86646.0,9627380.0,2010,7,1994,16
6,1972.0,111.0,2.0,1.0,5.0,0,2,4.1,4.4,2.8,3.59,487297.0,167073.0,13922760.0,2013,5,2008,5
5,1685.0,105.0,1.0,1.0,4.0,0,1,2.8,4.4,4.0,3.74,352830.0,176415.0,12601080.0,2014,7,1980,34
0,1130.0,29.0,1.0,1.0,3.0,1,0,2.3,2.5,2.2,2.29,468417.0,53533.0,13383350.0,2011,11,1981,30
4,1301.0,59.0,1.0,1.0,3.0,1,2,2.8,2.7,3.8,3.17,357283.0,71457.0,7939625.0,2010,11,2003,7
